時間戳記,性別,年齡,你喜歡跟誰合作？,為甚麼？
2023/3/20 下午 2:44:46,生理男,30~39歲,莉絲雅,很常願意跟我組隊打團體戰
2023/3/20 下午 2:45:05,生理女,40~49歲,莉絲雅,很常願意跟我組隊打團體戰
2023/3/20 下午 2:45:25,生理女,20歲以下,腿庫飯,很常提供遊戲攻略密技給我
2023/3/20 下午 2:46:00,生理女,30~39歲,拉克,很常捐獻物資給我
2023/3/20 下午 2:46:16,生理女,30~39歲,腿庫飯,很常捐獻物資給我
2023/3/20 下午 2:47:06,生理男,30~39歲,墨染,很常願意跟我組隊打團體戰
2023/3/20 下午 2:47:21,生理男,30~39歲,正取四,很常捐獻物資給我
2023/3/20 下午 2:47:35,生理男,40~49歲,腿庫飯,很常捐獻物資給我
2023/3/20 下午 2:47:45,生理男,30~39歲,拉克,很常提供遊戲攻略密技給我
2023/3/20 下午 2:48:16,生理男,20(含)~29歲,莉絲雅,很常捐獻物資給我
2023/3/20 下午 2:48:25,生理男,30~39歲,莉絲雅,很常提供遊戲攻略密技給我
2023/3/20 下午 2:48:36,生理男,30~39歲,哈哈哈,很常捐獻物資給我
2023/3/20 下午 2:48:50,生理男,40~49歲,腿庫飯,很常願意跟我組隊打團體戰
2023/3/20 下午 2:49:45,生理男,40~49歲,莉絲雅,很常捐獻物資給我
2023/3/20 下午 2:49:55,生理男,30~39歲,莉絲雅,很常提供遊戲攻略密技給我
2023/3/20 下午 2:50:04,生理男,30~39歲,莉絲雅,很常願意跟我組隊打團體戰
2023/3/20 下午 2:50:18,生理男,30~39歲,莉絲雅,很常願意跟我組隊打團體戰
2023/3/20 下午 2:50:45,生理男,30~39歲,腿庫飯,很常提供遊戲攻略密技給我
2023/3/20 下午 2:51:00,生理男,30~39歲,拉克,很常捐獻物資給我
2023/3/20 下午 2:51:14,生理男,30~39歲,莉絲雅,很常願意跟我組隊打團體戰
